predicted_group_id,members,signal_type,dominant_family_token_share,minimum_link_score,mean_link_score,review_required
PRED-00001,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00002,2,shared_household_signal,1.0,0.9879227053140095,0.9879227053140095,True
PRED-00003,1,singleton,1.0,0.0,0.0,True
PRED-00004,3,shared_household_signal,1.0,0.9110671936758892,0.9445908358951837,True
PRED-00005,1,singleton,1.0,0.0,0.0,True
PRED-00006,1,singleton,1.0,0.0,0.0,True
PRED-00007,1,singleton,1.0,0.0,0.0,True
PRED-00008,1,singleton,1.0,0.0,0.0,True
PRED-00009,1,singleton,1.0,0.0,0.0,True
PRED-00010,1,singleton,1.0,0.0,0.0,True
PRED-00011,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00012,1,singleton,1.0,0.0,0.0,True
PRED-00013,1,singleton,1.0,0.0,0.0,True
PRED-00014,3,shared_household_signal,0.6666666666666666,0.9669565217391304,0.9779710144927537,True
PRED-00015,2,shared_residence_signal,0.5,0.8924485125858124,0.8924485125858124,True
PRED-00016,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00017,1,singleton,1.0,0.0,0.0,True
PRED-00018,1,singleton,1.0,0.0,0.0,True
PRED-00019,1,singleton,1.0,0.0,0.0,True
PRED-00020,1,singleton,1.0,0.0,0.0,True
PRED-00021,1,singleton,1.0,0.0,0.0,True
PRED-00022,1,singleton,1.0,0.0,0.0,True
PRED-00023,1,singleton,1.0,0.0,0.0,True
PRED-00024,6,shared_location_review,0.16666666666666666,0.8924485125858124,0.9508161708619376,True
PRED-00025,1,singleton,1.0,0.0,0.0,True
PRED-00026,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00027,1,singleton,1.0,0.0,0.0,True
PRED-00028,4,shared_household_signal,1.0,0.9749163879598661,0.9880899293942771,True
PRED-00029,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00030,4,shared_residence_signal,0.5,0.9661835748792268,0.9764251207729467,True
PRED-00031,1,singleton,1.0,0.0,0.0,True
PRED-00032,3,shared_residence_signal,0.3333333333333333,0.9800000000000001,0.9800000000000001,True
PRED-00033,1,singleton,1.0,0.0,0.0,True
PRED-00034,1,singleton,1.0,0.0,0.0,True
PRED-00035,2,shared_residence_signal,0.5,0.9696551724137931,0.9696551724137931,True
PRED-00036,1,singleton,1.0,0.0,0.0,True
PRED-00037,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00038,2,shared_residence_signal,0.5,0.8967391304347824,0.8967391304347824,True
PRED-00039,1,singleton,1.0,0.0,0.0,True
PRED-00040,1,singleton,1.0,0.0,0.0,True
PRED-00041,1,singleton,1.0,0.0,0.0,True
PRED-00042,1,singleton,1.0,0.0,0.0,True
PRED-00043,1,singleton,1.0,0.0,0.0,True
PRED-00044,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00045,2,shared_residence_signal,0.5,0.8804347826086956,0.8804347826086956,True
PRED-00046,1,singleton,1.0,0.0,0.0,True
PRED-00047,3,shared_household_signal,0.6666666666666666,0.9652173913043478,0.9773913043478261,True
PRED-00048,2,shared_residence_signal,0.5,0.9010526315789474,0.9010526315789474,True
PRED-00049,1,singleton,1.0,0.0,0.0,True
PRED-00050,1,singleton,1.0,0.0,0.0,True
PRED-00051,1,singleton,1.0,0.0,0.0,True
PRED-00052,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00053,1,singleton,1.0,0.0,0.0,True
PRED-00054,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00055,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00056,1,singleton,1.0,0.0,0.0,True
PRED-00057,5,shared_residence_signal,0.2,0.9688888888888888,0.9755555555555556,True
PRED-00058,1,singleton,1.0,0.0,0.0,True
PRED-00059,1,singleton,1.0,0.0,0.0,True
PRED-00060,1,singleton,1.0,0.0,0.0,True
PRED-00061,3,shared_residence_signal,0.3333333333333333,0.9696551724137931,0.9731034482758621,True
PRED-00062,1,singleton,1.0,0.0,0.0,True
PRED-00063,5,shared_residence_signal,0.4,0.9130434782608695,0.9518658170914541,True
PRED-00064,1,singleton,1.0,0.0,0.0,True
PRED-00065,3,shared_household_signal,0.6666666666666666,0.9800000000000001,0.9866666666666667,True
PRED-00066,1,singleton,1.0,0.0,0.0,True
PRED-00067,1,singleton,1.0,0.0,0.0,True
PRED-00068,5,shared_household_signal,0.8,0.8924485125858124,0.956979405034325,True
PRED-00069,1,singleton,1.0,0.0,0.0,True
PRED-00070,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00071,1,singleton,1.0,0.0,0.0,True
PRED-00072,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00073,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00074,3,shared_household_signal,0.6666666666666666,0.8924485125858124,0.9282990083905416,True
PRED-00075,1,singleton,1.0,0.0,0.0,True
PRED-00076,2,shared_household_signal,1.0,0.953416149068323,0.953416149068323,True
PRED-00077,1,singleton,1.0,0.0,0.0,True
PRED-00078,1,singleton,1.0,0.0,0.0,True
PRED-00079,3,shared_residence_signal,0.3333333333333333,0.9661835748792268,0.9707890499194846,True
PRED-00080,1,singleton,1.0,0.0,0.0,True
PRED-00081,1,singleton,1.0,0.0,0.0,True
PRED-00082,3,shared_residence_signal,0.3333333333333333,0.9688888888888888,0.9725925925925926,True
PRED-00083,1,singleton,1.0,0.0,0.0,True
PRED-00084,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00085,1,singleton,1.0,0.0,0.0,True
PRED-00086,1,singleton,1.0,0.0,0.0,True
PRED-00087,1,singleton,1.0,0.0,0.0,True
PRED-00088,1,singleton,1.0,0.0,0.0,True
PRED-00089,2,shared_residence_signal,0.5,0.92,0.92,True
PRED-00090,2,shared_household_signal,1.0,0.9767080745341613,0.9767080745341613,True
PRED-00091,1,singleton,1.0,0.0,0.0,True
PRED-00092,1,singleton,1.0,0.0,0.0,True
PRED-00093,5,shared_residence_signal,0.2,0.8924485125858124,0.944979405034325,True
PRED-00094,1,singleton,1.0,0.0,0.0,True
PRED-00095,1,singleton,1.0,0.0,0.0,True
PRED-00096,2,shared_household_signal,1.0,0.9880000000000001,0.9880000000000001,True
PRED-00097,3,shared_residence_signal,0.3333333333333333,0.9800000000000001,0.9800000000000001,True
PRED-00098,1,singleton,1.0,0.0,0.0,True
PRED-00099,1,singleton,1.0,0.0,0.0,True
PRED-00100,1,singleton,1.0,0.0,0.0,True
PRED-00101,1,singleton,1.0,0.0,0.0,True
PRED-00102,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00103,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00104,1,singleton,1.0,0.0,0.0,True
PRED-00105,2,shared_household_signal,1.0,1.0,1.0,True
PRED-00106,1,singleton,1.0,0.0,0.0,True
PRED-00107,1,singleton,1.0,0.0,0.0,True
PRED-00108,1,singleton,1.0,0.0,0.0,True
PRED-00109,1,singleton,1.0,0.0,0.0,True
PRED-00110,2,shared_residence_signal,0.5,0.9073724007561436,0.9073724007561436,True
PRED-00111,4,shared_residence_signal,0.25,0.9800000000000001,0.9800000000000001,True
PRED-00112,1,singleton,1.0,0.0,0.0,True
PRED-00113,1,singleton,1.0,0.0,0.0,True
PRED-00114,1,singleton,1.0,0.0,0.0,True
PRED-00115,4,shared_residence_signal,0.25,0.9696551724137931,0.9748275862068967,True
PRED-00116,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00117,2,shared_residence_signal,0.5,0.9696551724137931,0.9696551724137931,True
PRED-00118,1,singleton,1.0,0.0,0.0,True
PRED-00119,3,shared_household_signal,0.6666666666666666,0.9670164917541227,0.9785907046476762,True
PRED-00120,3,shared_household_signal,1.0,0.914187643020595,0.94279176201373,True
PRED-00121,2,shared_residence_signal,0.5,0.8695652173913042,0.8695652173913042,True
PRED-00122,5,shared_residence_signal,0.2,0.8695652173913042,0.9379160282558949,True
PRED-00123,4,shared_household_signal,1.0,1.0,1.0,True
PRED-00124,1,singleton,1.0,0.0,0.0,True
PRED-00125,1,singleton,1.0,0.0,0.0,True
PRED-00126,1,singleton,1.0,0.0,0.0,True
PRED-00127,2,shared_residence_signal,0.5,0.9800000000000001,0.9800000000000001,True
PRED-00128,4,shared_household_signal,0.75,0.9800000000000001,0.9900000000000001,True
PRED-00129,1,singleton,1.0,0.0,0.0,True
PRED-00130,3,shared_household_signal,1.0,0.8913043478260869,0.9308161708619375,True
